Cities,Abbr
"Campbell River, BC [Harbor Seaplane Base], Canada",YHH
"Campbellpore, Pakistan",CWP
"Campbeltown, United Kingdom",CAL
"Campeche [Alberto Acuna Ongay], Mexico",CPE
"Campina Grande, PB, Brazil",CPV
"Campinas, SP, Brazil",CPQ
"Campo Bom, RS, Brazil",QCD
"Campo do Arag, Brazil",CMP
"Campo Grande, MS, Brazil",CGR
"Campo, CA, USA",CZZ
"Campos do Jordao, Brazil",QJO
"Campos, RJ, Brazil",CAW
"Can Tho, Vietnam",VCA
"Cana Brava, PA, Brazil",NBV
"Canadian, TX [Hemphill County Airport], USA",HHF
"Canaima, Venezuela",CAJ
"Canakkale, Turkey",CKZ
"Cananea, Mexico",CNA
"Canas, Costa Rica",CSC
"Canavieiras, BA, Brazil",CNV
"Canberra, Australian Capital Territory, Australia",CBR
"Cancun [Cancun International], Mexico",CUN
"Candala, Somalia",CXN
"Candilejas, Colombia",CJD
"Candle, AK [Candle 2 Airport], USA",CDL
"Canelas, RS, Brazil",QCN
"Cangamba, Angola",CNZ
"Cannes [Mandelieu], France",CEQ
"Canoas, RS, Brazil",QNS
"Canobie, Queensland, Australia",CBY
"Canoinhas, SC, Brazil",QNH
"Canon City, CO [Fremont County Airport], USA",CNE
"Canouan Island, St. Vincent and the Grenadines",CIW
"Canton Island, Kiribati",CIS
"Canton, IL [Ingersoll Airport], USA",CTK
"Cap Haitien, Haiti",CAP
"Cap Skirring, Senegal",CSK
"Cape Dorset, NT [Cape Dorset Airport], Canada",YTE
"Cape Dyer, NT [Cape Dyer Airport], Canada",YVN
"Cape Eleuthera, Bahamas",CEL
"Cape Flattery, Australia",CQP
"Cape Girardeau, MO [Cape Girardeau Municipal Airport], USA",CGI
"Cape Gloucester, Papua New Guinea",CGC
"Cape Hooper, NT [Cape Hooper Airport], Canada",YUZ
"Cape Lisburne, AK [Cape Lisburne LRRS], USA",LUR
"Cape May (Wildwood), NJ [Cape May County Airport], USA",WWD
"Cape Newenham, AK [Cape Newhenham LRRS], USA",EHM
"Cape Palmas, Liberia",CPA
"Cape Parry, NT [Cape Parry Airport], Canada",ZUE
"Cape Pole, AK [Cape Pole Seaplane Base], USA",CZP
"Cape Romanzof, AK [Cape Romanzof LRRS], USA",CZF
"Cape Rooney, Papua New Guinea",CPN
"Cape Sarichef, AK [Cape Sarichef Airport], USA",CSH
"Cape Spencer, AK [Cape Spencer Coast Guard Heliport], USA",CSP
"Cape St. Jacques, Vietnam",CSJ
"Cape St. James, BC, Canada",YCJ
"Cape Town [D.F. Malan], South Africa",CPT
"Cape Town [Youngsfield Airport], South Africa",YGF
"Cape Vogel, Papua New Guinea",CVL
"Cape Yakataga, AK [Yakataga Airport], USA",CYT
"Cape York, Queensland [Bamaga], Australia",ABM
"Cape Young, NT [Cape Young Airport], Canada",YUI
"Capri, Italy",PRJ
"Capurgana, Colombia",CPB
"Caquetania, Colombia",CQT
"Car Nicobar, India",CBD
"Caracas [Aeropuerto Internacional del Centro], Venezuela",CCS
"Carajas, PA, Brazil",CKS
"Caransebes, Romania",CSB
"Carauari, AM, Brazil",CAF
"Caravelas, BA, Brazil",CRQ
"Carbondale/Murphysboro, IL [Southern Illinois Airport], USA",MDH
"Carcassonne, France",CCF
"Cardiff [Rhoose], United Kingdom",CWL
"Caribou Island, ON, Canada",YCI
"Caribou, ME [Caribou Municipal Airport], USA",CAR
"Carimagua, Colombia",CCO
"Carlisle, United Kingdom",CAX
"Carlsbad, CA [McClellan-Palomar Airport], USA",CLD
"Carlsbad, NM [Cavern City Air Terminal], USA",CNM
"Carlton Hill, Western Australia, Australia",CRY
"Carmelita, Guatemala",CMM
"Carmen de Patagones, Argentina",CPG
"Carnarvon, Western Australia, Australia",CVQ
"Carnot, Central African Republic",CRF
"Carolina, MA, Brazil",CLN
"Carora, Venezuela",VCR
"Carp, ON [Carp Airport], Canada",YRP
"Carpentaria Downs, Queensland, Australia",CFP
"Carriacou, Grenada",CRU
"Carrickfinn, Ireland",CFN
"Carrillo, Costa Rica",RIK
"Carrizo Springs, TX [Dimmit County Airport], USA",CZT
"Carroll, IA [Arthur N. Neu Airport], USA",CIN
"Carrollton, GA [West Georgia Regional Airport], USA",CTJ
"Carson City, NV [Carson Airport], USA",CSN
"Cartagena de Indias [Rafael Nunez], Colombia",CTG
"Cartago, Colombia",CRC
"Cartersville, GA [Cartersville Airport], USA",VPC
"Carti, Panama",CTE
"Cartierville, QC, Canada",YCV
"Cartwright, NF [Cartwright Airport], Canada",YRF
"Caruaru, PE, Brazil",CAU
"Carupano, Venezuela",CUP
"Caruru, Colombia",CUO
"Carutapera, MA, Brazil",CTP
"Casa Grande, AZ [Casa Grande Municipal Airport], USA",CGZ
"Casablanca [Mohamed V], Morocco",CMN
"Casablanca [Mohammed V], Morocco",CAS
"Casas Grandes, Mexico",NCG
"Cascade Locks, OR [Cascade Locks State Airport], USA",CZK
"Cascavel, PR, Brazil",CAC
"Casiguran, Philippines",CGG
"Casino, New South Wales, Australia",CSI
"Casiqua, Venezuela",CUV
"Casper, WY [Natrona County International Airport], USA",CPR
"Cassilandia, MG, Brazil",CSS
"Castaway, Fiji",CST
"Castlebar, Ireland",CLB
"Castlegar, BC [Castlegar Airport], Canada",YCG
"Castres, France",DCM
"Castro, Chile",WCA
"Castunhal, PA, Brazil",QHL
"Casuarito, Colombia",CSR
"Cat Cay, Bahamas",CXY
"Cat Island, Bahamas",CAT
"Cat Lake, ON [Cat Lake Airport], Canada",YAC
"Catacamas, Honduras",CAA
"Cataguases, MG, Brazil",QCS
"Catalao, GO, Brazil",TLZ
"Catamarca, Argentina",CTC
"Catanduva, SP, Brazil",QDE
"Catania, Sicily [Fontanarossa], Italy",CTA
"Catanzaro, Italy",QCZ
"Catarman, Philippines",CRM
"Catavina, Mexico",CTV
"Cattle Creek, Australia",CTR
"Cauayan, Philippines",CYZ
"Caucasia, Colombia",CAQ
"Caviahue, Argentina",CVH
"Caxias do Sul, RS, Brazil",CXJ
"Caye Chapel, Belize",CYC
"Cayenne [Rochambeau], French Guyana",CAY
"Cayman Brac, Cayman Brac [Gerrard Smith], Cayman Islands",CYB
"Cayo Largo del Sur, Cuba",CYO
"Cazombo, Colombia",CAV
"Cebu, Philippines",CEB
"Cedar City, UT [Cedar City Municipal Airport], USA",CDC
"Cedar Key, FL [George T. Lewis Airport], USA",CDK
"Cedar Rapids, IA [Cedar Rapids Municipal Airport], USA",CID
"Cedros Island, Mexico",CDI
"Ceduna, South Australia, Australia",CED
"Celina, OH [Lakefield Airport], USA",CQA
"Center Island, WA, USA",CWS
"Centerville, IA [Centerville Municipal Airport], USA",TVK
"Centerville, TN [Centerville Municipal Airport], USA",GHM
"Central, AK [Central Airport], USA",CEM
"Centralia, IL [Centralia Municipal Airport], USA",ENL
"Centralia, ON [Huron Airpark], Canada",YCE
"Cepu, Indonesia",CPF
"Ceres, Argentina",CRR
"Cerro Sombrero, Chile",SMB
"Cessnock, New South Wales, Australia",CES
"Chachapoyas, Peru",CHH
"Chadron, NE [Chadron Municipal Airport], USA",CDR
"Chah Bahar, Iran",ZBR
"Chaiten, Chile",WCH
"Chakcharan, Afghanistan",CCN
"Chalkyitsik, AK [Chalkyitsik Airport], USA",CIK
"Challis, ID [Challis Airport], USA",CHL
"Chambery [Aix-Les-Bains], France",CMF
"Champaign (Urbana), IL USA",CMI
"Chanaral, Chile",CNR
"Chandalar Lake, AK [Chandalar Lake Airport], USA",WCR
"Chandigarh, India",IXC
"Chandler, AZ [Chandler Municipal Airport], USA",CHD
"Chandler, AZ [Stellar Airpark], USA",SLJ
"Chang Hua, Taiwan",CJE
"Changchun, China",CGQ
"Changde, China",CGD
"Changsha, China",CSX
"Changuinola, Panama",CHX
"Changzhi, China",CIH
"Changzhou, China",CZX
"Chania (Khania), Greece",CHQ
"Chanute, KS [Chanute Martin Johnson Airport], USA",CNU
"Chaoyang, China",CHG
"Chaparral, Colombia",CPL
"Chapeco, SC, Brazil",XAP
"Chapleau, ON [Chapleau Airport], Canada",YLD
"Charata, Argentina",CNT
"Charjeu (Chardzhou), Lebap, Turkmenistan",CRZ
"Charleroi [Gosselies], Belgium",CRL
"Charles City, IA [Charles City Municipal Airport], USA",CCY
"Charleston, SC [Charleston Executive Airport], USA",JZI
"Charleston, SC USA",CHS
"Charleston, WV [Yeager Airport], USA",CRW
"Charlestown, Nevis [Newcastle], St. Kitts and Nevis",NEV
"Charleville, Queensland, Australia",CTL
"Charlevoix, MI [Charlevoix Municipal Airport], USA",CVX
"Charlo, NB [Charlo Airport], Canada",YCL
"Charlotte Amalie, Seaplane Base, U.S. Virgin Islands",SPB
"Charlotte Amalie, St. Thomas, U.S. Virgin Islands",STT
"Charlotte, NC [Charlotte/Douglas International Airport], USA",CLT
"Charlottesville, VA USA",CHO
"Charlottetown, NF [Charlottetown Aerodrome], Canada",YHG
"Charlottetown, PE [Charlottetown Airport], Canada",YYG
"Charquedas, RS, Brazil",QDA
"Charters Towers, Queensland, Australia",CXT
"Chase City, VA [Chase City Municipal Airport], USA",CXE
"Chateauroux [Deols], France",CHR
"Chatham Island, New Zealand",CHT
"Chatham, AK [Chatham Seaplane Base], USA",CYM
"Chatham, MA [Chatham Municipal Airport], USA",CQX
"Chatham, NB [Chatham Airport], Canada",YCH
"Chatham, ON [Chatham Aerodrome], Canada",XCM
"Chattanooga, TN [Lovell Field], USA",CHA
"Chaurjhari, Nepal",CJR
"Chaves, Portugal",CHV
"Cheboksary, Chuvashia, Russia",CSY
"Chefornak, AK [Chefornak Airport], USA",CYF
"Chehalis, WA [Chehalis-Centralia Airport], USA",CLS
"Cheju [Sogwipo], South Korea",JSP
"Cheju, South Korea",CJU
"Cheju, South Korea",JCJ
"Chelyabinsk, Chelyabinsk, Russia",CEK
"Chena Hot Springs, AK, USA",CEX
"Chengdu, China",CTU
"Chengteh, China",CEH
"Cheraw, SC [Cheraw Municipal Airport], USA",HCW
"Cherbourg [Maupertus], France",CER
"Cherkasy, Cherkasy, Ukraine",CKC
"Chernihiv (Chernigov), Chernihiv, Ukraine",CEJ
"Chernivtsi (Chernovtsy), Chernivtsi, Ukraine",CWC
"Chernofski Harbor, AK [Chernofski Harbor Seaplane Base], USA",KCN
"Cherokee Sound, Bahamas",CQZ
"Cherokee Village, AR [Cherokee Village Heliport], USA",CKK
"Cherokee, IA [Cherokee Municipal Airport], USA",CKP
"Cherokee, OK [Kegelman Air Force Auxiliary Field], USA",CKA
"Cherrabun, Western Australia, Australia",CBC
"Cherribah, Queensland, Australia",CRH
"Cherry Point, NC [Cunningham Field], USA",NKT
"Chesapeake, OH/Huntington, WV [Lawrence County], USA",HTW
"Chesapeake, VA [Chesapeake Municipal Airport], USA",CPK
"Chester, United Kingdom",CEG
"Chesterfield Inlet, NT [Chesterfield Inlet Airport], Canada",YCS
"Chetumal, Mexico",CTM
"Chetwynd, BC [Chetwynd Airport], Canada",YCQ
"Chevak, AK [Chevak Airport], USA",VAK
"Cheyenne, WY [Cheyenne Airport], USA",CYS
"Cheyenne, WY [Francis E. Warren Air Force Base], USA",FEW
"Chiang Mai [Chiang Mai International Airport], Thailand",CNX
"Chiang Rai [Chiang Rai INternational Airport], Thailand",CEI
"Chiayi, Taiwan",CYI
"Chibougamau, QC [Chapais Airport], Canada",YMT
"Chicago (West Chicago), IL [Dupage Airport], USA",DPA
"Chicago (Wheeling), IL [Pal-Waukee Airport], USA",PWK
"Chicago, IL [Chicago-O'Hare International Airport], USA",ORD
"Chicago, IL [Chicago Midway Airport], USA",MDW
"Chicago, IL [Merrill C. Meigs Airport], USA",CGX
"Chicago, IL [Metropolitan Area], USA",CHI
"Chicago/Aurora, IL [Aurora Municipal Airport], USA",AUZ
"Chicago/Schaumburg, IL [Schaumburg Air Park], USA",JMH
"Chicago/Waukegan, IL [Waukegan Regional Airport], USA",UGN
"Chichen Itza, Mexico",CZA
"Chickasha, OK [Chickasha Municipal Airport], USA",CHK
"Chicken, AK [Chicken Airport], USA",CKX
"Chiclayo, Peru",CIX
"Chico, CA [Chico Municipal Airport], USA",CIC
"Chievres, Belgium",CHE
"Chifeng, China",CIF
"Chignik, AK [Chignik Airport], USA",KCQ
"Chignik, AK [Chignik Bay Seaplane Base], USA",KBW
"Chignik, AK [Chignik Fisheries Airport], USA",KCG
"Chignik, AK [Chignik Lagoon Airport], USA",KCL
"Chigorodo, Colombia",IGO
"Chihuahua [General Roberto Fierro V.], Mexico",CUU
"Chilas, Pakistan",CHB
"Childress, TX [Childress Municipal Airport], USA",CDS
"Chile Chico, Chile",CCH
"Chilko Lake, BC [Chilko Lake Aerodrome], Canada",CJH
"Chillagoe, Queensland, Australia",LLG
"Chillan, Chile",YAI
"Chillicothe, OH [Ross County Airport], USA",RZT
"Chilliwack, BC [Chilliwack Airport], Canada",YCW
"Chiloquin, OR [Chiloquin State Airport], USA",CHZ
"Chimbote, Peru",CHM
"Chimbu/Kundiawa, Papua New Guinea",CMU
"China Lake, CA [China Lake NAWS/Armitage Field], USA",NID
"Chinchilla, Chile",CCL
"Chincoteague, VA, USA",WAL
"Chinde, Mozambique",INE
"Chingola, Zambia",CGJ
"Chinguitti, Mauritania",CGT
"Chinhae, South Korea",CHF
"Chinju, South Korea",HIN
"Chino, CA [Chino Airport], USA",CNO
"Chios, Greece",JKH
"Chipata, Zambia",CIP
"Chiquimula, Guatemala",CIQ
"Chisana, AK [Chisana Airport], USA",CZN
"Chisasibi, QC [Chisasibi Aerodrome], Canada",YKU
"Chisinau (Kishiney,Kishinev), Moldova",KIV
"Chistochina, AK [Chistochina Airport], USA",CZO
"Chita, Chita [Kadala], Russia",HTA
"Chitato [Dundo], Angola",PGI
"Chitina, AK [Chitina Airport], USA",CXC
"Chitipa, Malawi",CII
"Chitose, Sapporo, Japan",CTS
"Chitral, Pakistan",CJL
"Chittagong [Patenga], Bangladesh",CGP
"Chivolo, Colombia",IVO
"Choiseul Bay, Solomon Islands",CHY
"Cholet, France",CET
"Chomley, AK, USA",CIV
"Chongqing, China",CKG
"Chonju, South Korea",CHN
"Christchurch [Christchurch Int'l Airport], New Zealand",CHC
"Christianshab, Greenland",JCH
"Christiansted, St. Croix Seaplane Base, Virgin Islands",SSB
"Christiansted, St. Croix, U.S. Virgin Islands",STX
"Christmas Creek, Western Australia, Australia",CXQ
"Christmas Island (Kiritimati), Line Islands, Kiribati",CXI
"Christmas Island, Christmas Island, Australia",XCH
"Chuathbaluk, AK [Chuathbaluk Airport], USA",CHU
"Chub Cay, Berry, Bahamas",CCZ
"Chur, Switzerland",ZDT
"Churchill Falls, NF [Churchill Falls Airport], Canada",ZUM
"Churchill, MB [Churchill Airport], Canada",YYQ
"Cicia, Fiji",ICI
"Ciego de Avila, Cuba",AVI
"Cienfuegos, Cuba",CFG
"Cilacap, Java, Indonesia",CXP
"Cimitarra, Colombia",CIM
"Cincinnati, OH [Cincinnati Municipal Airport/Lunken Field], USA",LUK
"Circle Hot Springs, AK [Circle Hot Springs Airport], USA",CHP
"Circle, AK [Circle City Airport], USA",IRC
"Cirebon, Indonesia",CBN
"Ciudad Acuna, Mexico",ACN
"Ciudad Bolivar, Venezuela",CBL
"Ciudad Constitucion, Mexico",CUA
"Ciudad de Mexico (Mexico City) [Sertel], Mexico",VXX
"Ciudad de Mexico (Mexico City), Mexico",MEX
"Ciudad del Carmen, Mexico",CME
"Ciudad del Este, Paraguay",AGT
"Ciudad Guayana, Venezuela",CGU
"Ciudad Juarez [Abraham Gonzalez], Mexico",CJS
"Ciudad Mante, Mexico",MMC
"Ciudad Obregon, Mexico",CEN
"Ciudad Victoria, Mexico",CVM
"Ciudadela, Spain",QIU
"Claremont, NH [Claremont Municipal Airport], USA",CNH
"Clarinda, IA [Schenck Field], USA",ICL
"Clarks Point, AK [Clarks Point Airport], USA",CLP
"Clarksburg, WV [Benedum Airport], USA",CKB
"Clarksdale, MS [Fletcher Field], USA",CKM
"Clarksville, TN [Outlaw Field], USA",CKV
"Clay Center, KS [Clay Center Municipal Airport], USA",CYW
"Clayton, NM [Clayton Municipal Airpark], USA",CAO
"Clear Lake, AK, USA",CKE
"Clear Lake/Lavon, TX [Lavon North Airport], USA",CLC
"Clearwater, FL [Clearwater Air Park], USA",CLW
"Clemson, SC [Clemson-Oconee County Airport], USA",CEU
"Clermont-Ferrand [Aulnat], France",CFE
"Clermont, Queensland, Australia",CMQ
"Cleve, South Australia, Australia",CVC
"Cleveland, MS [Cleveland Municipal Airport], USA",RNV
"Cleveland, OH [Burke Lakefront Airport], USA",BKL
"Cleveland, OH [Cleveland-Hopkins International Airport], USA",CLE
"Cleveland, OH [Cuyahoga County Airport], USA",CGF
"Cleveland, TN [Hardwick Field], USA",HDI
"Clifton Hills, South Australia, Australia",CFH
"Clifton/Morenci, AZ [Greenlee County Airport], USA",CFT
"Clinton Creek, YT, Canada",YLM
"Clinton Point, NT [Clinton Point Airport], Canada",YUH
"Clinton, IA [Clinton Municipal Airport], USA",CWI
"Clinton, NC [Sampson County Airport], USA",CTZ
"Clinton, OK [Clinton-Sherman Airport], USA",CSM
"Clinton, OK [Clinton Municipal Airport], USA",BFV
"Clintonville, WI [Clintonville Municipal Airport], USA",CLI
"Cloncurry, Queensland, Australia",CNJ
"Clorinda, Argentina",CLX
"Clovis, NM [Cannon Air Force Base], USA",CVS
"Clovis, NM [Clovis Municipal Airport], USA",CVN
"Cluff Lake, SK [Cluff Lake Aerodrome], Canada",XCL
"Cluj Napoca, Romania",CLJ
"Cluny, Queensland, Australia",CZY
"Clyde River, NT [Clyde River Airport], Canada",YCY
"Coalinga, CA [Coalinga Municipal Airport], USA",CLG
"Coari, AM, Brazil",CIZ
"Coatesville, PA [Chester County G. O. Carlson Airport], USA",CTH
"Coatzacoalcos, Mexico",QTZ
"Coban, Guatemala",CBV
"Cobar, New South Wales, Australia",CAZ
"Cobija, Bolivia",CIJ
"Coca, Ecuador",OCC
"Cochabamba [Jorge Wilsterman], Bolivia",CBB
"Cochin, India",COK
"Cochrane, Chile",LGR
"Cochrane, ON [Cochrane Airport], Canada",YCN
"Cocoa Beach, FL [Cape Canaveral Air Force Stn. Skid Strip], USA",XMR
"Cocoa Beach, FL [Patrick Air Force Base], USA",COF
"Cocoa, FL [Merritt Island Airport], USA",COI
"Coconut Island, Queensland, Australia",CNC
"Cocos Islands, Cocos (Keeling) Islands, Australia",CCK
"Codazzi, Colombia",DZI
"Cody, WY [Yellowstone Regional Airport], USA",COD
"Coen, Queensland, Australia",CUQ
"Coeur d'Alene, ID [Coeur d'Alene Air Terminal], USA",COE
"Coffee Point, AK, USA",CFA
"Coffeyville, KS [Coffeyville Municipal Airport], USA",CFV
"Coffman Cove, AK [Coffman Cove Seaplane Base], USA",KCC
"Coffs Harbour, New South Wales, Australia",CFS
"Cognac, France",CNG
"Coimbatore, India",CJB
"Coimbra, Portugal",CBP
"Colac, Victoria, Australia",XCO
"Colatina, ES, Brazil",QCH
"Colby, KS [Shaltz Field], USA",CBK
"Cold Bay, AK [Cold Bay Airport], USA",CDB
"Cold Lake, AB [Cold Lake Regional Airport], Canada",YOD
"Coldfoot, AK [Coldfoot Airport], USA",CXF
"Coleman, TX [Coleman Municipal Airport], USA",COM
"Colima, Mexico",CLQ
"Coll Island, United Kingdom",COL
"Collarenebri, New South Wales, Australia",CRB
"College Park, MD [College Park Airport], USA",CGS
"College Station, TX [Easterwood Field], USA",CLL
"Collie, Western Australia, Australia",CIE
"Collins Bay, SK [Collins Bay Airport], Canada",YKC
"Collinsville, Queensland, Australia",KCE
"Colmar, France",CMR
"Colombo [Katunayake], Sri Lanka",CMB
"Colombo, Sri Lanka",RML
"Colon, Cuba",QCO
"Colon, Panama",ONX
"Colonia Catriel, Argentina",CCT
"Colonia Sarmien, Argentina",OLN
"Colonia, Uruguay",CYR
"Colonia, Yap Island [Yap International Airport], Micronesia",YAP
"Colonial Williamsburg, VA, USA",VCW
"Colonsay Island, Scotland, United Kingdom",CSA
"Colorado Creek, AK [Colorado Creek Airport], USA",KCR
"Colorado Springs, CO [U.S. Air Force Academy Airstrip], USA",AFF
"Colorado Springs, CO USA",COS
"Colorado Springs/Fort Carson, CO USA",FCS
"Coltishall, United Kingdom",CLF
"Colton, CA, USA",RTO
"Columbia, CA [Columbia Airport], USA",COA
"Columbia, MO [Columbia Regional Airport], USA",COU
"Columbia, SC [Columbia Metropolitan Airport], USA",CAE
"Columbia, SC [Columbia Owens Downtown Airport], USA",CUB
"Columbia, SC [McEntire Air National Guard Base], USA",MMT
"Columbia/Mount Pleasant, TN [Maury County Airport], USA",MRC
"Columbus, GA [Columbus Metropolitan Airport], USA",CSG
"Columbus, GA [McKenna Army Air Field], USA",MKF
"Columbus, IN [Columbus Municipal Airport], USA",CLU
"Columbus, MS [Columbus-Lowndes County Airport], USA",UBS
"Columbus, MS [Columbus Air Force Base], USA",CBM
"Columbus, NE [Columbus Municipal Airport], USA",OLU
"Columbus, NM [Columbus Municipal Airport], USA",CUS
"Columbus, OH [Ohio State University Airport], USA",OSU
"Columbus, OH [Port Columbus International Airport], USA",CMH
"Columbus, OH [Rickenbacker International Airport], USA",LCK
"Columbus/West Point/Starkville, MS USA",GTR
"Colville Lake, NT [Colville Lake Aerodrome], Canada",YCK
"Colville River, AK, USA",KCO
"Comayagua, Honduras",XPL
"Comilla, Bangladesh",CLA
"Comiso, Italy",CIY
"Comodoro Rivadavia [General E. Mosconi], Argentina",CRD
"Comox, BC [Comox Airport], Canada",YQQ
"Compton, CA [Compton Airport], USA",CPM
"Conakry [G'bessia], Guinea",CKY
"Conceicao, PB, Brazil",CDJ
"Concepcion [Carriel Sur], Chile",CCP
"Concepcion, Bolivia",CEP
"Concord, CA [Buchanan Field], USA",CCR
"Concord, NH [Concord Municipal Airport], USA",CON
"Concordia [Comodoro Pierres], Argentina",COC
"Concordia, AM, Brazil",CCI
"Concordia, KS [Blosser Municipal Airport], USA",CNK
"Condobolin, New South Wales, Australia",CBX
"Condoto, Colombia",COG
"Confreza, Brazil",CFO
"Congo Town, Bahamas",COX
"Connaught, Ireland",CNN
"Connellsville, PA [Connellsville Airport], USA",WKC
"Connersville, IN [Mettel Field], USA",CEV
"Conquista, MG, Brazil",COQ
"Conroe, TX [Montgomery County Airport], USA",CXO
"Conselheiro Lafaiete, MG, Brazil",QDF
"Constanta [Mihai Kogainiceanu], Romania",CND
"Constantine [Ain El Bey], Algeria",CZL
"Constanza, Dominican Republic",COZ
"Contadora, Panama",OTD
"Contamana, Peru",CTF
"Conway, SC [Conway-Horry County Airport], USA",HYW
"Coober Pedy, South Australia, Australia",CPD
"Cooch Behar, India",COH
"Cooinda, Northern Territory, Australia",CDA
"Cook, MN [Cook Municipal Airport], USA",CQM
"Cooktown, Queensland, Australia",CTN
"Coolah, New South Wales, Australia",CLH
"Coolawanyah, Western Australia, Australia",COY
"Coolibah, Northern Territory, Australia",COB
"Coolullah, Australia",WCO
"Cooma, New South Wales, Australia",OOM
"Coonabarabran, New South Wales, Australia",COJ
"Coonamble, New South Wales, Australia",CNB
"Coop Point, MB, Canada",YCP
"Cooper Landing, AK [Quartz Creek Airport], USA",JLA
"Coorabie, Australia",CRJ
"Cootamundra, New South Wales, Australia",CMD
"Copan, Honduras",RUY
"Copiapo, Chile",CPO
"Copper Center, AK [Copper Center 2 Airport], USA",CZC
"Copper Mountain, CO, USA",QCE
"Coppermine, NT [Coppermine Airport], Canada",YCO
"Coquimbo, Chile",COW
"Coral Harbour, NT [Coral Harbour Airport], Canada",YZS
"Corazon de Jesus, Panama",CZJ
"Corcoran, CA [Corcoran Airport], USA",CRO
"Cordele, GA [Crisp County-Cordele Airport], USA",CKF
"Cordillo Downs, South Australia, Australia",ODL
"Cordoba [Pajas Blancas], Argentina",COR
"Cordoba [San Jeronimo], Spain",ODB
"Cordova, AK [Cordova Municipal Airport], USA",CKU
"Cordova, AK [Merle K. (Mudhole) Smith Airport], USA",CDV
"Corinth, MS [Roscoe Turner Airport], USA",CRX
"Coritgo Blanco, United Kingdom",CTB
"Cork, Ireland",ORK
"Corn Island, Nicaragua",RNI
"Cornelio Procopio, PR, Brazil",CKO
"Corner Bay, AK, USA",CBA
"Cornwall, ON [Regional Airport], Canada",YCC
"Coro, Venezuela",CZE
"Coromandel, New Zealand",CMV
"Coronation, AB [Coronation Airport], Canada",YCT
"Corowa, New South Wales, Australia",CWW
"Corozal, Belize",CZH
"Corozal, Colombia",CZU
"Corpus Christi, TX [Cabaniss Field Naval Outlying Field], USA",NGW
"Corpus Christi, TX [Corpus Christi Int'l Airport], USA",CRP
"Corpus Christi, TX [Corpus Christi Naval Air Station], USA",NGP
"Corpus Christi, TX [Cuddihy Field], USA",CUX
"Corrientes, Argentina",CNQ
"Corsicana, TX USA",CRS
"Cortes Bay, BC [Cortes Bay Water Aerodrome], Canada",YCF
"Cortez, CO [Cortez-Montezuma County Airport], USA",CEZ
"Cortina d'Ampezzo, Italy",CDF
"Cortland, NY [Cortland County Airport-Chase Field], USA",CTX
"Corumba, SP, Brazil",CMG
"Corvallis, OR [Corvallis Municipal Airport], USA",CVO
"Corvo Island, Azores, Portugal",CVU
"Costa Marques, RO, Brazil",CQS
"Cotabato, Philippines",CBO
"Cotia, SP, Brazil",QOI
"Coto 47, Costa Rica",OTR
"Cotonou [Cadjehoun], Benin",COO
"Cottonwood, AZ [Cottonwood Airport], USA",CTW
"Cotulla, TX [Cotulla-La Salle County Airport], USA",COT
"Council Bluffs, IA [Council Bluffs Municipal Airport], USA",CBF
"Council, AK [Council Airport], USA",CIL
"Courcheval, France",CVF
"Courtenay, BC [Courtenay Aerodrome], Canada",YCA
"Covenas, Colombia",CVE
"Coventry [Baginton], United Kingdom",CVT
"Covilha, Portugal",COV
"Covington, KY/Cincinnati, OH USA",CVG
"Cowarie, South Australia, Australia",CWR
"Cowell, South Australia, Australia",CCW
"Cowley, AB, Canada",YYM
"Cowra, New South Wales, Australia",CWT
"Cox's Bazar, Bangladesh",CXB
"Coyhaique, Chile",GXQ
"Coyoles, Honduras",CYL
"Cozad, NE [Cozad Municipal Airport], USA",CZD
"Cozumel, Mexico",CZM
"Cradock, South Africa",CDO
"Crafton Island, AK, USA",CJI
"Craig Cove, Vanuatu",CCV
"Craig, AK [Craig Seaplane Base], USA",CGA
"Craig, CO [Craig-Moffat Airport], USA",CIG
"Craiova, Romania",CRA
"Cranbrook, BC [Cranbrook Airport], Canada",YXC
"Crane Island, WA, USA",CKR
"Crane, TX [Crane County Airport], USA",CCG
"Cravo Norte, Colombia",RAV
"Crawfordsville, IN [Crawfordsville Municipal Airport], USA",CFJ
"Cree Lake, SK [Cree Lake Airport], Canada",YFN
"Crescent City, CA [Jack McNamara Field.], USA",CEC
"Cresco, IA [Ellen Church Field], USA",CJJ
"Cresswell Downs, Northern Territory, Australia",CSD
"Crested Butte, CO USA",CSE
"Creston, BC [Creston Aerodrome], Canada",YCZ
"Creston, IA [Creston Municipal Airport], USA",CSQ
"Crestview, FL [Bob Sikes Airport], USA",CEW
"Crisciuma, SC, Brazil",CCM
"Croisette [Heliport], France",JCA
"Croker Island, Northern Territory, Australia",CKI
"Cromarty, United Kingdom",CRN
"Crooked Creek, AK [Crooked Creek Airport], USA",CJX
"Crooked Creek, AK [Crooked Creek Airport], USA",CKD
"Crooked Island, Crooked, Bahamas",CRI
"Crookston, MN [Crookston Municipal Kirkwood Field], USA",CKN
"Cross City, FL [Cross City Airport], USA",CTY
"Cross Lake, MB [Charlie Sinclair Memorial Airport], Canada",YCR
"Crossett, AR [Z. M. Jack Stell Field], USA",CRT
"Crossville, TN [Crossville Memorial Airport], USA",CSV
"Crotone, Italy",CRV
"Crow's Landing, CA USA",NRC
"Croydon, Queensland, Australia",CDQ
