Cities	Countries	Abbr	
Delta Junction/Fort Greely	 AK [Allen Army Air Field]	BIG	
Delta	 UT [Delta Municipal Airport]	DTA	
Dembidollo	 Ethiopia	DEM	
Deming	 NM [Deming Municipal Airport]	DMN	
Den Haag (The Hague)/Hilversum	 Netherlands	HAG	
Denham	 Western Australia	DNM	
Deniliquin	 New South Wales	DNQ	
Denison	 IA [Denison Municipal Airport]	DNS	
Denizli	 Turkey	DNZ	
Dennis Island	 Seychelles	DEI	
Denpasar/Bali [Ngurah Rai]	 Indonesia	DPS	
Denton	 TX [Denton Municipal Airport]	DTO	
Denver	 CO [Centennial Airport]	APA	
Denver	 CO [Front Range Airport]	FTG	
Denver	 CO [Metropolitan Area]	QDV	
Denver	 CO [Stapleton International Airport]	DEN	
Denver/Aurora	 CO [Buckley Army National Guard Base]	BFK	
Denver/Broomfield	 CO [Jeffco Airport]	BJC	
Dera Ismail Khan	 Pakistan	DSK	
Derby	 Western Australia	DRB	
Derim	 Papua New Guinea	DER	
Derna	 Libya	DNF	
Des Moines	 IA [Des Moines International Airport]	DSM	
Desolation Sound	 BC	YDS	
Desroches	 Seychelles	DES	
Dessie	 Ethiopia	DSE	
Destin	 FL [Destin-Fort Walton Beach Airport]	DSI	
Detroit Lakes	 MN [Detroit Lakes Airport]	DTL	
Detroit	 MI [Detroit City Airport]	DET	
Detroit	 MI [Detroit Metropolitan Wayne County] USA	DTW	
Detroit	 MI [Metropolitan Area]	DTT	
Detroit	 MI [Willow Run Airport]	YIP	
Deux Alpes	 France	DXA	
Deva	 Romania	DVA	
Deventer [Teuge]	 Netherlands	QYV	
Devils Lake	 ND [Devils Lake Municipal Airport]	DVL	
Devonport	 Tasmania	DPO	
Dewar Lakes	 NT [Dewar Lakes Airport]	YUW	
Dexter	 MO [Dexter Municipal Airport]	DXE	
Dhahran	 Saudi Arabia	DHA	
Dhaka [Zia International]	 Bangladesh	DAC	
Dhala	 Yemen	DHL	
Dhamar	 Yemen	DMR	
Dhanbad	 India	DBD	
Dhangarhi	 Nepal	DHI	
Dharamsala	 India	DHM	
Diadema	 SP	QDW	
Diamantina Lakes	 Queensland	DYM	
Diamantino	 MT	DMT	
Dianopolis	 GO	DNO	
Diapaga	 Burkina Faso	DIP	
Dibaa	 Oman	BYB	
Dibrugarh	 India	DIB	
Dickinson	 ND [Dickinson Municipal Airport]	DIK	
Diebougou	 Burkina Faso	XDE	
Diego Garcia	 British Indian Ocean Territory	NKW	
Dieppe	 France	DPE	
Dietrich	 AK	DTK	
Digby	 NS [Digby Aerodrome]	YDG	
Dijon [Longvic]	 France	DIJ	
Dili [Komoro]	 East Timor	DIL	
Dili	 Zaire	DIC	
Dillingham	 AK [Dillingham Airport]	DLG	
Dillon	 MT [Dillon Airport]	DLN	
Dillon	 SC [Dillon County Airport]	DLL	
Dillons Bay	 Vanuatu	DLY	
Dimapur	 India	DMU	
Dinajpur	 Bangladesh	DNJ	
Dinangat	 Papua New Guinea	DNU	
Dinard/Pleurtuit [St. Malo]	 France	DNR	
Dinder	 Sudan	DNX	
Dios	 Papua New Guinea	DOS	
Dipolog	 Philippines	DPL	
Dire Dawa [Aba Tenna D. Yilma]	 Ethiopia	DIR	
Dirranbandi	 Queensland	DRN	
Divinopolis	 MG	DIQ	
Diwan of Royal Court	 Oman	DIW	
Dixie	 Queensland	DXD	
Diyarbakir	 Turkey	DIY	
Djambala	 Congo	DJM	
Djanet [Tiska]	 Algeria	DJG	
Djayapura (Jayapura) [Sentani]	 Indonesia	DJJ	
Djerba (Jerba) [Djerba/Zarzis]	 Tunisia	DJE	
Djibo	 Burkina Faso	XDJ	
Djibouti [Ambouli]	 Djibouti	JIB	
Djoemoe	 Suriname	DOE	
Djougou	 Benin	DJA	
Dnata	 United Arab Emirates	XGD	
Dnipropetrovs'k (Dnepropetrovsk)	 Dnipropetrovs'k	DNK	
Doany	 Madagascar	DOA	
Dobo	 Aru Islands	DOB	
Doc Creek	 Canada	YDX	
Dodge City	 KS [Dodge City Regional Airport]	DDC	
Dodoima	 Tanzania	DDM	
Dodoma	 Tanzania	DOD	
Doha	 Qatar	DOH	
Doini	 Papua New Guinea	DOI	
Dolbeau-St. Methode	 QC [Dolbeau-St. Methode Airport]	YDO	
Dole [Tavaux]	 France	DLE	
Dolisie	 Congo	DIS	
Dolomi	 AK	DLO	
Dolpa	 Nepal	DOP	
Dom Pedrito	 RS	QDP	
Dominica (Roseau) [Cane Field]	 Dominica	DCF	
Dominica (Roseau) [Melville Hall]	 Dominica	DOM	
Doncaster	 United Kingdom	DCS	
Donetsk	 Donets'k	DOK	
Dongara	 Western Australia	DOX	
Dongola	 Sudan	DOG	
Doomadgee Mission	 Queensland	DMD	
Dora Bay	 AK	DOF	
Dorado [Dorado Airport (private)]	 Puerto Rico	DDP	
Dori	 Burkina Faso	DOR	
Dornbirn [Hohenems-Dornbirn Airport]	 Austria	QDI	
Dornoch	 United Kingdom	DOC	
Dorobisoro	 Papua New Guinea	DOO	
Dorra	 Djibouti	DOZ	
Dortmund	 Germany	DTM	
Dorunda Station	 Queensland	DRD	
Dos Lagunas	 Guatemala	DON	
Dothan	 AL [Dothan Airport]	DHN	
Douala	 Cameroon	DLA	
Douglas	 AZ [Douglas Municipal Airport]	DGL	
Douglas	 GA [Douglas Municipal Airport]	DQH	
Douglas	 WY [Converse County Airport]	DGW	
Douglas/Bisbee	 AZ [Bisbee Douglas Int'l Airport]	DUG	
Dourados	 MG	DOU	
Dover	 DE [Dover Air Force Base]	DOV	
Dover/Cheswold	 DE [Delaware Airpark]	DVX	
Downey	 CA [R I SD Downey Helistop]	JDY	
Drama	 Greece	DRM	
Drayton	 AB [Drayton Valley Industrial Aerodrome]	YDC	
Dresden	 Germany	DRS	
Drietabbetje	 Suriname	DRJ	
Driftwood Bay	 AK	DFB	
Drumduff	 Queensland	DFP	
Drummond Island	 MI [Drummond Island Airport]	DRE	
Drummond	 MT [Drummond Airport]	DRU	
Dryden	 ON [Dryden Municipal Airport]	YHD	
Dschang	 Cameroon	DSC	
Du Bois	 PA [Du Bois-Jefferson County Airport]	DUJ	
Dubai	 United Arab Emirates	DXB	
Dubbo	 New South Wales	DBO	
Dublin	 GA [W. H. 'Bud' Barron Airport]	DBN	
Dublin	 Ireland	DUB	
Dublin	 VA [New River Valley Airport]	PSK	
Dubois	 ID [Dubois Municipal Airport]	DBS	
Dubrovnik	 Croatia	DBV	
Dubuque	 IA [Dubuque Regional Airport]	DBQ	
Duck	 NC	DUF	
Duesseldorf (Dusseldorf) [Rhein-Ruhr]	 Germany	DUS	
Duesseldorf (Dusseldorf)	 Germany	QDU	
Duesseldorf/Koeln Area	 Germany	NRW	
Dugway Proving Ground	 UT [Michael Army Air Field]	DPG	
Duisburg	 Germany	DUI	
Dulkaninna	 South Australia	DLK	
Duluth	 MN [Duluth International Airport]	DLH	
Duluth	 MN [Lakeside USAF]	LKI	
Dumaguete	 Philippines	DGT	
Dumai	 Indonesia	DUM	
Dumas	 TX [Dumas Municipal Airport]	DUX	
Dumpu	 Papua New Guinea	DPU	
Dunbar	 Queensland	DNB	
Duncan Town	 Ragged	DCT	
Duncan	 BC [Quamichan Lake Water Aerodrome]	DUQ	
Duncan	 OK [Halliburton Field]	DUC	
Dundas	 Greenland	DUN	
Dundee	 United Kingdom	DND	
Dundo	 Angola	DUE	
Dunedin	 New Zealand	DUD	
Dunhuang	 China	DNH	
Dunk Island	 Queensland	DKI	
Dunkirk	 NY [Chautauqua County/Dunkirk Airport]	DKK	
Duque de Caixas	 RJ	QDQ	
Durango	 CO [Animas Air Park]	AMK	
Durango	 CO [Durango-La Plata County Airport]	DRO	
Durango	 Mexico	DGO	
Durant	 OK [Eaker Field]	DUA	
Durban [Louis Botha]	 South Africa	DUR	
Durham Downs	 Queensland	DHD	
Durrie	 Queensland	DRR	
Dushanbe	 Karotegin	DYU	
Dutch Harbor (Unalaska)	 AK [Unalaska Airport]	DUT	
Dwight	 IL [Dwight Airport]	DTG	
Dysart	 Queensland	DYA	
Dzaoudzi (Mamoudzou) [Pamandzi]	 Mayotte	DZA	
Eagle Grove	 IA [Eagle Grove Municipal Airport]	EAG	
Eagle Lake	 TX [Eagle Lake Airport]	ELA	
Eagle Pass	 TX [Eagle Pass Municipal Airport]	EGP	
Eagle River	 WI [Eagle River Union Airport]	EGV	
Eagle	 AK [Eagle Airport]	EAA	
Earlton	 ON [Earlton Airport]	YXR	
East Fork	 AK	EFO	
East Greenland	 Greenland	CNP	
East Hampton	 NY [East Hampton Airport]	HTO	
East Hartford	 CT [Rentschler Airport]	EHT	
East London	 South Africa	ELS	
East Main	 QC [East Main River Airport]	ZEM	
East Midlands (Derby)	 United Kingdom	EMA	
East Stroudsburg	 PA [Birchwood-Pocono Airpark]	ESP	
East Tawas	 MI [Iosco County Airport]	ECA	
Eastland	 TX [Eastland Municipal Airport]	ETN	
Eastman	 GA [Eastman-Dodge County Airport]	EZM	
Easton	 MD [Easton Municipal Airport]	ESN	
Easton	 WA [Easton State Airport]	ESW	
Eastsound	 WA [Orcas Island Airport]	ESD	
Eau Claire	 WI [Chippewa Valley Regional Airport]	EAU	
Ebadon	 Marshall Islands	EBN	
Ebolowa	 Cameroon	EBW	
Echuca	 New South Wales	ECH	
Ed Dabba	 Sudan	DEA	
Eday	 United Kingdom	EOI	
Eden	 New South Wales	QDN	
Edenton	 NC [Edenton Municipal Airport]	EDE	
Edgewood Arsenal	 MD [Weide Army Air Field]	EDG	
Edinburgh	 Scotland	EDI	
Edmonton	 AB [Edmonton International Airport]	YEG	
Edmonton	 AB [Edmonton Municipal Airport]	YXD	
Edmonton	 AB [Metropolitan Area]	YEA	
Edmonton	 AB [Namao Field]	YED	
Edna Bay	 AK	EDA	
Edson	 AB [Edson Airport]	YET	
Edward River	 Queensland	EDR	
Edwards	 CA [Edwards Air Force Base]	EDW	
Eek	 AK [Eek Airport]	EEK	
Efogi	 Papua New Guinea	EFG	
Egedesminde	 Greenland	JEG	
Egegik	 AK [Bartletts Airport]	BSZ	
Egegik	 AK [Egegik Airport]	EGX	
Egilsstadir	 Iceland	EGS	
Eia	 Papua New Guinea	EIA	
Eight Fathombight	 United Kingdom	EFB	
Ein Yahav	 Israel	EIY	
Einasleigh	 Queensland	EIH	
Eindhoven	 Netherlands	EIN	
Eirunepe	 AM	ERN	
Ekereku	 Guyana	EKE	
Ekibastuz	 Kazakhstan	EKB	
Ekuk	 AK [Ekuk Airport]	KKU	
Ekwok	 AK [Ekwok Airport]	KEK	
El Arish	 Egypt	EAH	
El Banco	 Colombia	ELB	
El Barge	 Colombia	EBG	
El Bolson	 Argentina	EHL	
El Borma	 Algeria	EBM	
El Cajon	 CA	CJN	
El Campo	 TX [El Campo Metro Airport Inc.]	ECE	
El Centro	 CA [El Centro Naval Air Facility]	NJK	
El Centro/Imperial	 CA [Imperial County Airport]	IPL	
El Charco	 Colombia	ECR	
El Debba	 Sudan	EDB	
El Dorado	 AR [Goodwin Field]	ELD	
El Dorado	 KS [Captain Jack Thomas/El Dorado Airport]	EDK	
El Dorado	 Venezuela	EOR	
El Encanto	 Colombia	ECO	
El Fasher	 Sudan	ELF	
El Geneina	 Sudan	EGN	
El Golea	 Algeria	ELG	
El Gouera	 Mauritania	ZLG	
El Maiten	 Argentina	EMX	
El Minya	 Egypt	EMY	
El Monte	 CA [El Monte Airport]	EMT	
El Naranjo	 Guatemala	ENJ	
El Obeid	 Sudan	EBD	
El Oued [Guemar]	 Algeria	ELU	
El Paso	 TX [El Paso International Airport]	ELP	
El Porvenir	 Panama	PVE	
El Real	 Panama	ELE	
El Recreo	 Colombia	ELJ	
El Salvador	 Chile	ESR	
El Vigia	 Venezuela	VIG	
El Yopal	 Colombia	EYP	
Elat [Hozman]	 Israel	ETH	
Elazig	 Turkey	EZS	
Elba Island	 Italy	EBA	
Elcho Island	 Northern Territory	ELC	
Eldorado	 Argentina	ELO	
Eldoret	 Kenya	EDL	
Eldred Rock	 AK [Eldred Rock Coast Guard Heliport]	ERO	
Elfin Cove	 AK [Elfin Cove Seaplane Base]	ELV	
Elim	 AK [Elim Airport]	ELI	
Elim	 AK [Moses Point Airport]	MOS	
Eliptamin	 Papua New Guinea	EPT	
Elista	 Kalmykia	ESL	
Eliye Springs	 Kenya	EYS	
Elizabeth City	 NC USA	ECG	
Elizabethtown	 KY [Addington Field]	EKX	
Elk City	 OK [Elk City Municipal Airport]	ELK	
Elkedra	 Northern Territory	EKD	
Elkhart	 IN [Elkhart Municipal Airport]	EKI	
Elkhart	 KS [Elkhart-Morton County Airport]	EHA	
Elkin	 NC [Elkin Municipal Airport]	ZEF	
Elkins	 WV USA	EKN	
Elko	 NV [J. C. Harris Field]	EKO	
Ell	 Somalia	HCM	
Ellamar	 AK [Ellamar Seaplane Base]	ELW	
Ellensburg	 WA [Bowers Field]	ELN	
Elliot Lake	 ON [Elliot Lake Municipal Airport]	YEL	
Ellisras	 South Africa	ELL	
Elmira	 NY [Elmira/Corning Regional Airport]	ELM	
Elorza	 Venezuela	EOZ	
Ely	 MN [Ely Municipal Airport]	LYU	
Ely	 NV [Ely Airport (Yelland Field)]	ELY	
Emae	 Vanuatu	EAE	
Embessa	 Papua New Guinea	EMS	
Emden	 Germany	EME	
Emerald	 Queensland	EMD	
Emeryville	 CA	JEM	
Emigrant Gap	 CA [Blue Canyon-Nyack Airport]	BLU	
Emirau	 Papua New Guinea	EMI	
Emmen	 Switzerland	XWD	
Emmetsburg	 IA [Emmetsburg Municipal Airport]	EGQ	
Emmonak	 AK [Emmonak Airport]	EMK	
Emo	 ON	EMO	
Empangeni	 South Africa	EMG	
Emporia	 KS [Emporia Municipal Airport]	EMP	
Emporia	 VA [Emporia Municipal Airport]	EMV	
En Nahud	 Sudan	NUD	
Enarotali	 Indonesia	EWI	
Encarnacion	 Paraguay	ENO	
Ende	 Indonesia	ENE	
Eneabba	 Western Australia	ENB	
Engati	 Papua New Guinea	EGA	
English Bay	 AK [English Bay Airport]	KEB	
Enid	 OK [Enid Woodring Municipal Airport]	WDG	
Enid	 OK [Vance Air Force Base]	END	
Enisejsk	 Russia	EIE	
Enitewok	 Marshall Islands	ENT	
Ennadai Lake	 NT	YEI	
Enniskillen	 Northern Ireland [St. Angelo Airport]	ENK	
Enontekio (Enontekioe)	 Finland	ENF	
Enschede	 Netherlands	ENS	
Ensenada [El Cipres]	 Mexico	ESE	
Enshi	 China	ENH	
Enterprise	 AL [Enterprise Municipal Airport]	ETS	
Enugu	 Nigeria	ENU	
Epena	 Congo	EPN	
Ephrata	 WA [Ephrata Municipal Airport]	EPH	
Epi	 Vanuatu	EPI	
Epinal	 France	EPL	
Episkopi	 Cyprus	EPK	
Erandique	 Honduras	EDQ	
Erave	 Papua New Guinea	ERE	
Ercan	 Cyprus	ECN	
Erechim	 RS	ERM	
Erevan (Yerevan) [Zapadny]	 Armenia	EVN	
Erfurt	 Germany	ERF	
Erhac	 Turkey	EHC	
Erie	 PA [Erie International Airport]	ERI	
Erigavo	 Somalia	ERA	
Erldunda	 Northern Territory	EDD	
Ernabella	 South Australia	ERB	
Eromanga	 Queensland	ERG	
Errachidia	 Morocco	ERH	
Errol	 NH [Errol Airport]	ERR	
Erume	 Papua New Guinea	ERU	
Erzincan	 Turkey	ERC	
Erzurum	 Turkey	ERZ	
Esa Ala	 Papua New Guinea	ESA	
Esbjerg	 Denmark	EBJ	
Escanaba	 MI [Delta County Airport]	ESC	
Eskilstuna	 Sweden	EKT	
Eskimo Point (Arviat)	 NT [Arviat Airport]	YEK	
Eskisehir	 Turkey	ESK	
Esmeraldas [General Rivadeneira]	 Ecuador	ESM	
Espanola	 NM [San Juan Pueblo Airport]	ESO	
Esperadinha	 Brava	BVR	
Esperance	 Western Australia	EPR	
Esperanza	 Honduras	LEZ	
Espinosa	 MG	ESI	
Espirito Santo [Pekoa]	 Vanuatu	SON	
Esquel	 Argentina	EQS	
Esquimalt	 BC	YPF	
Essen	 Germany	ESS	
Essington (Philadelphia)	 PA [Philadelphia Seaplane Base]	PSQ	
Estevan Point	 BC	YEP	
Estevan	 SK [Estevan Airport]	YEN	
Estherville	 IA [Estherville Municipal Airport]	EST	
Etadunna	 South Australia	ETD	
Eua	 Tonga	EUA	
Eucla	 Western Australia	EUC	
Eufaula	 AL [Weedon Field]	EUF	
Eugene	 OR [Mahlon Sweet Field]	EUG	
Eunice	 LA [Eunice Airport]	UCE	
Eureka	 CA [Murray Field]	EKA	
Eureka	 NT [Eureka Airport]	YEU	
Eureka	 NV [Eureka Airport]	EUE	
Eva Downs	 Northern Territory	EVD	
Evadale	 TX [Evadale Landing Strip]	EVA	
Evans Head	 New South Wales	EVH	
Evanston	 WY [Evanston-Uinta County Burns Field]	EVW	
Evansville	 IN [Evansville Regional Airport]	EVV	
Eveleth	 MN [Eveleth-Virginia Municipal Airport]	EVM	
Evenes	 Norway	EVE	
Everett	 WA [Snohomish County Airport (Paine Field)]	PAE	
Evreux	 France	EVX	
Ewa	 HI [Barbers Point Naval Air Station (John Rodgers Field)]	NAX	
Ewer	 Indonesia	EWE	
Ewo	 Congo	EWO	
Excursion Inlet	 AK [Excursion Inlet Seaplane Base]	EXI	
Exeter	 United Kingdom	EXT	
Exmouth	 United Kingdom	EXM	
F'derik	 Mauritania	FGD	
Faatte	 French Polynesia	FAC	
Fada Ngourma	 Burkina Faso	FNG	
Fagernes [Leirin]	 Norway	VDB	
Fagurholsmyri	 Iceland	FAG	
Fair Isle	 United Kingdom	FIE	
Fairbanks	 AK [Eielson Air Force Base]	EIL	
Fairbanks	 AK [Fairbanks International Airport]	FAI	
Fairbanks	 AK [Metro Field]	MTX	
Fairbanks	 AK [Phillips Airport]	PII	
Fairbanks/Fort Wainwright	 AK USA	FBK	
Fairbury	 NE [Fairbury Municipal Airport]	FBY	
Fairfield	 CA [Travis Air Force Base]	SUU	
Fairfield	 IA [Fairfield Municipal Airport]	FFL	
Fairfield	 IL [Fairfield Municipal Airport]	FWC	
Fairford	 England [Fairford RAF Station]	FFD	
Fairmont	 MN [Fairmont Municipal Airport]	FRM	
Fairmont	 NE [Fairmont State Airfield]	FMZ	
Faisalabad	 Pakistan	LYP	
Faizabad	 Afghanistan	FBD	
Fajardo [Diego Jimenez Torres Airport]	 Puerto Rico	FAJ	
Fakahina	 French Polynesia	FHZ	
Fakarava	 Society Islands	FAV	
Fakenham	 England [Sculthorpe RAF Station]	FKH	
Fakfak (Fak Fak)	 New Guinea	FKQ	
Falher	 AB	YOE	
Fallon	 NV [Fallon Municipal Airport]	FLX	
Fallon	 NV [Fallon Naval Air Station (Van Voorhis Field)]	NFL	
Falls Bay	 AK	FLJ	
Falls City	 NE [Brenner Field]	FNB	
Falls Creek	 Australia	FLC	
Falmouth	 MA [Otis Army National Guard Base]	FMH	
False Island	 AK [False Island Seaplane Base]	FAK	
False Pass	 AK [False Pass Airport]	KFP	
Fane	 Papua New Guinea	FNE	
Fangatau	 French Polynesia	FGU	
Farafangana	 Madagascar	RVA	
Farah	 Afghanistan	FAH	
Faranah	 Guinea	FAA	
Farewell	 AK [Farewell Airport]	FWL	
Farghona (Fergana)	 Farghona	FEG	
Fargo	 ND [Hector International Airport]	FAR	
Faribault	 MN [Faribault Municipal Airport]	FBL	
Fariopur	 Bangladesh	FDP	
Farmington	 MO [Farmington Regional Airport]	FAM	
Farmington	 NM [Four Corners Regional Airport]	FMN	
Farmville	 VA [Farmville Municipal Airport]	FVX	
Farnborough	 England	FAB	
Faro	 Portugal	FAO	
Faro	 YT [Faro Airport]	ZFA	
Farranfore	 Ireland	KFF	
Farsund [Lista]	 Norway	FAN	
Faskrudsfjordur	 Iceland	FAS	
Fassama	 Liberia	WHC	
Faya	 Chad	FYT	
Fayetteville	 AR [Drake Field]	FYV	
Fayetteville	 NC [Pope Air Force Base]	POB	
Fayetteville	 NC USA	FAY	
Fayetteville	 TN [Fayetteville Municipal Airport]	FYM	
Fentress	 VA [Fentress Naval Auxiliary Landing Field]	NFE	
Fera Island	 Solomon Islands	FRE	
Feramin	 Papua New Guinea	FRQ	
Fergus Falls	 MN USA	FFM	
Fergusons Gulf	 Kenya	FER	
Ferkessedougou	 Ivory Coast	FEK	
Fernando de Noronha	 FN	FEN	
Fes (Fez) [Saiss]	 Morocco	FEZ	
Festus	 MO [Festus Memorial Airport]	FES	
Fetlar Island	 United Kingdom	FEA	
Fianarantsoa	 Madagascar	WFI	
Ficksburg	 South Africa	FCB	
Figari	 Corsica	FSC	
Filadelfia	 Paraguay	FLM	
Fillmore	 UT [Fillmore Airport]	FIL	
Filton	 United Kingdom	FZO	
Fin Creek	 AK	FNK	
Fincha	 Ethiopia	FNH	
Findlay	 OH [Findlay Airport]	FDY	
Finke	 Northern Territory	FIK	
Finley	 New South Wales	FLY	
Finschhafen	 Papua New Guinea	FIN	
Fire Cove	 AK	FIC	
Firenze (Florence) [Peretola]	 Italy	FLR	
Fishers Island	 NY [Elizabeth Field]	FID	
Fitchburg	 MA [Fitchburg Municipal Airport]	FIT	
Fitiuta Village [Fitiuta Airport]	 American Samoa	FAQ	
Fitiuta	 American Samoa	FTI	
Fitzgerald	 GA [Fitzgerald Municipal Airport]	FZG	
Fitzroy Crossing	 Western Australia	FIZ	
Five Fingers	 AK [Five Fingers Coast Guard Heliport]	FIV	
Five Mile	 AK [Five Mile Airport]	FMC	
Flagstaff	 AZ [Flagstaff Pulliam Airport]	FLG	
Flat	 AK [Flat Airport]	FLT	
Flateyri [Holt]	 Iceland	FLI	
Flaxman	 AK	FXM	
Flemingsburg	 KY [Fleming-Mason Airport]	FGX	
Flensburg	 Germany	FLF	
Flin Flon	 MB [Flin Flon Airport]	YFO	
Flinders Island	 Tasmania	FLS	
Flint	 MI [Bishop International Airport]	FNT	
Flippin	 AR [Marion County Regional Airport]	FLP	
Florence	 SC [Florence Regional Airport]	FLO	
Florencia	 Colombia	FLA	
Flores	 Guatemala	FRS	
Floriano	 PI	FLB	
Florianopolis	 SC	FLN	
Floro	 Norway	FRO	
Flotta Isle	 United Kingdom	FLH	
Foerde (Forde) [Bringeland]	 Norway	FDE	
Foggia [Gino Lisa]	 Italy	FOG	
Foley	 AL [Barin Naval Outlying Field]	NBJ	
Foley	 AL [Foley Municipal Airport]	NHX	
Fond-du-Lac	 SK [Fond-du-Lac Airport]	ZFD	
Fond du Lac	 WI [Fond du Lac County Airport]	FLD	
Font Romeu	 France	QZF	
Forbes	 New South Wales	FRB	
Forest City	 IA [Forest City Municipal Airport]	FXY	
Forest Park	 GA	FOP	
Forestville	 QC [Forestville Airport]	YFE	
Forli	 Italy	FRL	
Formosa	 Argentina	FMA	
Forres	 United Kingdom	FSS	
Forrest City	 AR [Forrest City Municipal Airport]	FCY	
Forrest	 Western Australia	FOS	
Forster	 New South Wales	FOT	
Fort-de-France [Le Lamentin]	 Martinique	FDF	
Fort Albany	 ON [Fort Albany Airport]	YFA	
Fort Belvoir	 VA [Davison Army Air Field]	DAA	
Fort Benning (Columbus)	 GA [Lawson Army Air Field]	LSF	
Fort Benning (Columbus)	 GA [Lawson Army Air Field]	QFE	
Fort Bliss (El Paso)	 TX [Biggs Army Air Field]	BIF	
Fort Bragg	 CA [Fort Bragg Airport]	FOB	
Fort Bragg	 NC [Simmons Army Air Field]	FBG	
Fort Bridger	 WY [Fort Bridger Airport]	FBR	
Fort Campbell (Clarksville)	 TN [Sabre Army Heliport]	EOD	
Fort Campbell (Hopkinsville)	 KY	HOP	
Fort Chaffee	 AR [Chaffee Army Air Field]	CCA	
Fort Chipewyan	 AB [Fort Chipewyan Airport]	YPY	
Fort Collins/Loveland	 CO USA	FNL	
Fort Dauphin	 Madagascar	FTU	
Fort Dodge	 IA [Fort Dodge Regional Airport]	FOD	
Fort Eustis	 VA [Felker Army Air Field]	FAF	
Fort Frances	 ON [Fort Frances Municipal Airport]	YAG	
Fort Franklin	 NT [Fort Franklin Airport]	YWJ	
Fort Frederick	 AK	PFD	
Fort Good Hope	 NT [Fort Good Hope Airport]	YGH	
Fort Hood (Killeen)	 TX [Hood Army Air Field]	HLR	
Fort Hood (Killeen)	 TX [Robert Gray Army Air Field]	GRK	
Fort Hope	 ON [Fort Hope Airport]	YFH	
Fort Huachuca/Sierra Vista	 AZ USA	FHU	
Fort Hunter/Liggett/Jolon	 CA [Tusi Army Heliport]	HGT	
Fort Indiantown Gap (Anvle)	 PA [Muir Army Air Field]	MUI	
Fort Irwin/Barstow	 CA USA	BYS	
Fort Jefferson (Dry Tortugas National Park)	 FL USA	RBN	
Fort Knox	 KY [Godman Army Air Field]	FTK	
Fort Lauderdale	 FL [Executive Airport]	FXE	
Fort Lauderdale	 FL USA	FLL	
Fort Leavenworth	 KS [Sherman Army Air Field]	FLV	
Fort Leonard Wood	 MO [Forney Army Air Field]	TBN	
Fort Lewis (Tacoma)	 WA [Gray Army Air Field]	GRF	
Fort Liard	 NT [Fort Liard Airport]	YJF	
Fort Madison	 IA [Fort Madison Municipal Airport]	FMS	
Fort McMurray	 AB [Fort McMurray Airport]	YMM	
Fort McPherson	 NT [Fort McPherson Airport]	ZFM	
Fort Meade (Odenton)	 MD [Tipton Army Air Field]	FME	
Fort Myers	 FL [Page Field]	FMY	
Fort Myers	 FL [Southwest Florida Regional Airport]	RSW	
Fort Nelson	 BC [Fort Nelson Airport]	YYE	
Fort Norman	 NT [Fort Norman Airport]	ZFN	
Fort Ord/Monterey	 CA [Fritzsche Army Air Field]	OAR	
Fort Pierce	 FL [St. Lucie County Int'l Airport]	FPR	
Fort Polk	 LA [Polk Army Air Field]	POE	
Fort Providence	 NT [Fort Providence Airport]	YJP	
Fort Reliance	 NT [Fort Reliance Water Aerodrome]	YFL	
Fort Resolution	 NT [Fort Resolution Airport]	YFR	
Fort Richardson (Anchorage)	 AK [Heliport]	FRN	
Fort Riley (Junction City)	 KS	FRI	
Fort Rousset	 Congo	FTX	
Fort Rucker (Ozark)	 AL [Cairns Army Air Field]	OZR	
Fort Rucker/Ozark	 AL [Hanchey Army Heliport]	HEY	
Fort Rucker/Ozark	 AL [Lowe Army Heliport]	LOR	
Fort Scott	 KS [Fort Scott Municipal Airport]	FSK	
Fort Severn	 ON [Fort Severn Airport]	YER	
Fort Sheridan	 IL	FSN	
Fort Sill	 OK [Henry Post Army Air Field]	FSI	
Fort Simpson	 NT [Fort Simpson Airport]	YFS	
Fort Smith	 AR [Fort Smith Municipal Airport]	FSM	
Fort Smith	 NT [Fort Smith Airport]	YSM	
Fort St. James	 BC [Perison Airport]	YJM	
Fort St. John	 BC [Fort St. John Airport]	YXJ	
Fort Stockton	 TX	FST	
Fort Sumner	 NM [Fort Sumner Municipal Airport]	FSU	
Fort Walton Beach (Valparaiso)	 FL USA	VPS	
Fort Wayne	 IN [Fort Wayne International Airport]	FWA	
Fort Wayne	 IN [Smith Field]	SMD	
Fort William	 United Kingdom	FWM	
Fort Worth	 TX [Carswell Air Force Base]	FWH	
Fort Worth	 TX [Fort Worth Alliance Airport]	AFW	
Fort Worth	 TX [Fort Worth Meacham Airport]	FTW	
Fort Worth	 TX [Fort Worth Spinks Airport]	FWS	
Fort Worth	 TX [Greater Southwest Airport]	GSW	
Fort Yukon	 AK [Fort Yukon Airport]	FYU	
Fort Zucker/Ozark	 AL [Knox Army Heliport]	FHK	
Fortaleza	 CE	FOR	
Fortuna Ledge	 AK	FTL	
Fossil Downs	 Western Australia	FSL	
Fosston	 MN [Fosston Municipal Airport]	FSE	
Fostoria	 OH [Fostoria Metro Airport]	FZI	
Fougamou	 Gabon	FOU	
Foula	 Shetland Islands	FOA	
Foumban	 Cameroon	FOM	
Fox Glacier	 New Zealand	FGL	
Fox Harbour/St. Lewis	 NF [Fox Harbour Aerodrome]	YFX	
